Id,oblast,Body
2085,fitness,You're question lacks a little bit of detail about what your workouts looked like but general causes for exercise related lower leg injuries are Running too fast puts massive strain of the soft tissue around your shin bone The only way to cope with this is slowly built up your exercise to allow the tissue to strengthen Run at a speed that you're still able to speak is a nice rule of thumb for not running too fast Running on hard surfaces if you're like me forces to run in the suburbs your feet hit the pavement hard with each step This causes the same problem as my previous point it will just happen faster on hard undergrounds If you can go to the woods or a park Running with bad shoes while the barefoot running crowd may disagree running on old or plain wrong shoes is bad Old shoes have degraded EVA which has bad or inconsistent cushioning Using your aerobics or tennis shoes for running is also a bad idea because while they may look similar they are really built completely different and often of different material as well Getting a pair of good running shoes will go a long way of reducing your chances of injury If all else fails you could get a pair of orthotics (don't overpay ) or compression stockings The first helps reduce movement of your foot in the shoe or make slight corrections to your feet roll off pattern The latter keeps your calf muscle in place and thereby reduces the stress on the soft tissue a lot The last part I can really recommend get a training plan I'm sure you've tried one before but this time get a training plan and cut your goals by 20% So instead of aiming to run at 10 km/h start out at 8 km/h instead of trying to run for half an hour start with 20 minutes Also I can really recommend a program like Start to Run or your C25K this forces you to alternate between walking and jogging for at least the first few weeks This greatly reduces the total stress on your soft tissue and should give your body time to start adapting But remember even when things start to get better stick to your plan
3045,fitness,It depends on the circuit you do You could alternate a circuit such that you don't do the same muscle group on consecutive days if you like working out every day If you are working your muscles hard you definitely want a 48-hour recovery period for each muscle group I did a pretty intense circuit program 3 days a week (M-W-F) so I could have weekends free And if you do it right you sure appreciate those days off But sometimes due to scheduling I've done circuits consecutively So long as you know your limits and keep good form you can avoid injury You can always do another activity for days in between I would suggest if you worked legs the day prior to not run a really long distance the next day A lower level of intensity like a leisurely walk swim or bike ride is nice but it's all relative to your activity level Listen to your body
2243,fitness,You should get yourself a decent heart-rate monitor and calibrate it yourself (as good as possible) What you do is you take a cycling home trainer and you follow the following protocol Maintain 80 rpm all the time Start cycling for 3-5 minutes at 100 Watt Add 30 Watt every 3 minutes Monitor your heart rate Assuming everything is more or less accurate your heart rate should be increasing more or less linearly until you start get above your anaerobic threshold after which it may start to increase steeper The point is it gives you a nice estimation of how much Watts you burn at what heart rate And since Watts can be roughly translated to kilo-calories (1 kcal = 1 163 Watt) you get an idea of how much calories you've burned Convert your heart rate over time to Watts and convert those to calories Though I'm sure most of them will have one built-in You can use your own 'calibration' to adjust the values If your a heart patient or you have any other diseases your mileage may vary
2110,fitness,The general rule of thumb is to add no more than 10% (measured in either time or distance) per week If you're just getting started running I would recommend the Couch to 5k program I used this last year to start running (after having never done any running in the past) and completed my first marathon in December
2130,fitness,Dr Stuart McGill suggests everybody should be able to hold the plank position for two minutes Once you are comfortable with this I vary my routine with elevated planks single leg planks stability ball planks side planks elevated side planks planks with feet on wall planks with feet on wall raising one leg to chest alternatively (I find this very tough)
2095,fitness,My girl friend and I used Your Shape (Xbox360 with Kinect) and in her case the calories indicated by the game were actually too low compared to what her Polar was indicating Now by no means is this scientific or calibrated but at least it means they're a nice estimate I'd say there's three things that are important Does the game make you keep coming back Because in the end any diet is based on sticking to it so if the workouts are fun and keep you motivated that's a plus Does it make you workout regularly Not only do you have to keep working out you have to do it at least ~three times to be a little bit effective Especially if you want to get better at something you have to regularly stress your body and let it recover so you become more fit Does it make you workout longer Your body needs about 30 minutes to get your fat-burning going so if you worked out for 15 minutes and then quit well then you only burned the sugar you shouldn't be eating ;-) If you can find a workout that keeps you busy for 30-60 minutes then it's becoming really effective Note that you may include warming up and cooling down as long as it keeps you moving And off course Kronos is absolutely right if you eat more than you burn during the workouts you don't loose anything But as your fitness improves so will your metabolism so it's OK-ish to eat a little bit more but then you have to promise me that you'll do an extra two sets of Wii Tennis This image shows different games and their metabolic equivalent task (MET)
2117,fitness,Sadly I don't have access to the journal to verify but Copacabana Runners is citing the journals Medicine and Science in Sports &amp; Exercise and Sports Medicine that reviewed over 60 detraining studies They found the following physiological effects after 2-4 weeks of detraining VO2 max down 4-10% Blood volume down 5-10% Heart rate up 5-10% Stroke volume down 6-12% Flexibility Decreases Lactate threshold Decreases Muscle glycogen levels down 20-30% Aerobic enzyme activity Decreases Running economy Unchanged So basically your body gets hit across the board Of course your mileage may vary depending on your level of fitness (the more you have the more you have to lose) the amount of inactivity you had (bed rest vs just no training) and most likely your age (the older you are the harder it is to regain what is lost)
2075,fitness,The bar should actually sit on the ridge formed by your shoulder blade whenever you grab the bar For instance see the following image for an approximation of where it should sit You really shouldn't have to be pushing forward much with your hands to keep the bar in place Also are you using any kind of padding on the bar Try to put padding on the bar if you aren't or take it off if you are I always preferred no padding as it makes the bar sit oddly on my shoulder blades Unless you are really super concerned with how much you can squat perhaps consider switching to nothing but front squats for your primary lower body lift instead of a back squat Here are some advantages of doing front squats
2078,fitness,This is not true Your body will process the food that you ingest and if the caloric intake of the food is greater than the amount of calories burned during the ensuing exercise you will gain weight You can have some carbohydrates before your workout if you find that your diet doesn't supply you with enough energy to not feel weak or excessively tired during your workout You can also add protein before your workout if you find yourself incredibly hungry in the middle of your exercise Again though if you take in more than you burn you will gain weight
2093,fitness,The most comprehensive answer I've found to this is at BodyBuilding com Essentially standard creatine won't make you retain water like micronized creatine and the standard creatine is used continuously whereas the micronized creatine should be used in a load-maintain-unload cycle The lack of water retention will change the look of the muscle you are building to be less soft if you're using standard creatine as well as lowering your weight/size
2107,fitness,Itching/tingling indicates an increase in bloodflow due to expanded capillaries and arteries This problem should go away as you increase your level of physical fitness If the itching comes with a rash though it's more likely to be exercise-induced anaphylaxis (an allergic reaction)
2106,fitness,Here's a few links to some great body-weight exercises that I use regularly Beginner Body Weight Workout Advanced Body Weight Workout Prison Workout
2941,fitness,It is possible to train the human body into needing much less sleep It is sleep quality and not amount that counts I have heard about people from military elite educations who make their body used to no more than 4 hours of sleep at night And they are still fit and surprisingly energized the next day ready to continue their rough training http //en wikipedia org/wiki/Polyphasic_sleep http //studenttavern com/2008/04/live-on-2-hours-of-sleep-a-night-sleep-method/ http //www physorg com/news76867739 html First of all it all depends on ones own body Some need more some need less sleep to reach the same level of rest Then it also depends on your sleep quality You've got to fall a sleep fast and immediately go to the deep and good sleep and get quickly past the REM sleep (Rapid eye movement sleep) which is the more superficial dream sleep Then your body also has to be able to recover fast This follows your psysical condition level Lastly remember to eat healthy and have the right amounts of protein etc after training for the body to have perfect conditions for recovering fast If your body ever shows signs on burnout you should react This could be simply having sore muscles the day after the exercise if you do this exercise of these muscle groups regularly but with no soreness If you find yourself loosing focus and concentration and feeling tired then of course you need sleep In the end without training to need less sleep some people just appears to need less anyway without any effort It varies from approx 7-9 hours in average If you are the 6-hours kind of guy this could be just you and you should find out by about this Give it ago and keep focus on soreness and pain in the very early stages
2105,fitness,Evidence shows that more than 5 days a week training increases your risk of musculoskeletal injury Rest is physically necessary so that the muscles can repair rebuild and strengthen -- continuous training can actually weaken it Without sufficient time to repair the body will continue to breakdown from intensive exercise Overtraining often occurs from a lack of recovery time Some signs of overtraining are feeling of general malaise staleness depression decreased sports performance and increased risk of injury This image from pponline co uk explains why you need some rest Making sure to workout when you're muscles are slightly stronger than before your workout will allow you to literally built up your muscles
2101,fitness,Work into it slowly If you're experiencing that many problems from it often then you are likely training too hard I've known 70 year olds who could easily out-do me in the martial arts without breaking a sweat or getting injured It has far less to do with your age than with your experience and endurance
2166,fitness,Disclaimer I've worked for a company that makes pressure plates that allow you to analyze running patterns (with or without shoes) I've done research at a specialized running shoe shop and my father is an orthopedic shoe manufacturer So in short my opinions are fairly biased but by no means scientifically proven While md5sum names some great rules of thumb they apply to every shoe and don't help you determine what type of shoe you're looking for First a short note Adidas did a study way back in 1987 and found that most injuries come from Injuries caused by training Wrong intensity of training 12% Too rapid increase in intensity 9% Several others 9% Injuries caused by shoes Bad quality of shoes 17% Wearing your shoes for too long 11% Wrong kind of shoes 44% As you can see picking the right kind of shoes is pretty darn important So how do we pick one When you dissect a shoe it's made up out of two main components the upper which is the mesh leather or synthetic material + the shoe laces; the sole of the shoe which can consist out of several layers The first component is composed the same for nearly every pair of running shoe While the last around which it is made may or may not fit your foot ( see md5sum's answer for some excellent advise there ) you won't find much variety within a certain brand However you should note that this is mostly true for the running shoes Don't even consider running on those cheaper aerobic or tennis models because you'll fall in the trap Adidas found earlier The other component which is the sole of the shoe Now when I say sole I'm actually referring to everything that is below your foot when you're inside the shoe Trying to discuss all the bits and pieces that compose it depends strongly on the brand and their design-department When limiting choices towards endurance running and excluding fancier shoes that are meant for trail running or sprinting on a track You're left with a shoe sole that serves several functions offer stability and control of motion shock absorption and/or reduction protection against the underground and overuse/strain comfort enhancing your performance Shock absorption is mainly determined by your body weight rather than the type of shoe When you're lighter you can get away with having a 'softer' (as in lower shore values) soles than when you're heavier When I say shock absorption don't immediately think Nike Air because most absorption comes from flexing your joints rather than compressing your sole There are several 'special' features for motion control though you can safely assume that unless you have some severe disorder you probably don't need any of the extreme models With extreme I mean shoes with extreme angles at the heel or other gimmicks If you're 'normal' you fall in one of three groups those who pronate too much those who run neutral those who don't pronate enough (or supinate) Don't mistake this for the other three types people like to call out flat normal arched and high arched feet Hate to break it to them but since the shoes all h
2135,fitness,When you're walking you apply about 1 2 times your body weight to the ground in Newtons (Fz = 1500N in your case) When you start running this rapidly increases to two times or more Furthermore when you're walking you have bipedal phases which means your body weight is carried by both legs But jogging is characterized by going from bipedal to unipedal so all the force is being applied to the one leg and thus one knee You're perfectly capable of walking so what you are looking for is a speed at which the forces on your knees are higher than during walking but not as high as during running What's also important is to reduce the moment arm your bodies center of mass has towards your knee Because the muscles around your knee have to stabilize the joint the further you put your foot (and thus knee) away from your center of mass the larger forces they will exert on your knee Now the single most common injury in runners is a jumpers knee or patellofemoral pain syndrome You can bet that the tendons connected to your patella won't like the strains when you start to run faster So we want two things lower speeds and shorter steps Luckily with shorter steps and the same step frequency you automagically get lower speeds Now how do we know we're actually doing this Well one great way is to listen to your body or in other words talk to yourself out loud If you're able to talk normally you're walking at the right speed Because as soon as you start speeding up the words don't come out steady anymore You get what I mean I can't check it with a heart rate monitor but I'd bet it would be around 60% of your maximal heart rate which is ideally for burning fat If you're more serious about it you can get a heart rate monitor yourself and an accelerometer (like a step counter only fancier) and keep track of yourself but really nothing beats listening to your yourself
2123,fitness,Simply put; no Diet is 80% of the battle when it comes to weight loss Focus on this before any other area Also you cannot 'spot-reduce' fat Push-ups are a useful exercise but they should not be your only exercise Too many push-ups (and little else) will lead to posture issues Consider adding squats pull-ups planks etc - these are compound exercises that'll hit more than one area
2127,fitness,Your muscles increase in size during their recovery not during the exercise itself Therefore you should not be working muscle groups on consecutive days I generally find 2-3 times a week is ideal on non-consecutive days
2138,fitness,Reiterating Your body alone determines where fat is taken from or added You cannot target an area for fat loss or gain In 10 days 10 push-ups a day will gain you 100 push-ups worth of tricep and pectoral strength but will have no bearing on where your body decides to take fat from I've seen extremely obese people lose weight only on one leg for a month before starting to even out and lose in other parts of the body It's rare but it happens Eating cereals and milk only will not give your body all the nutrients you need and you'll likely encounter health problems Eating more calories than you burn will cause you to gain weight Likewise eating less calories than you burn is the only (healthy) way to lose weight
2223,fitness,Among many powerlifters the theory is that you should try to warm up very little Warmups are simply tests to spot joint or technique problems that could cause injury at full weight Anything more is needlessly tiring yourself out before you can get to the heavy lifts that really increase strength Intuitively you would expect to lift the most weight in your first set since you are the freshest the next most weight in your second set and so on Also intuitively if you were to apply your lifts to the real world you may not get to warm up If you must combine cardio and strength training into one workout then do the strength training first as you need to be fresh for heavy lifts and not for cardio Note I'm assuming that you are lifting for strength and doing cardio for heart health If you're training to become e g a competitive runner then this may not be the right advice I think I would save stretching for the end of your workout unless you are very tight and don't overdo it
2141,fitness,Yes it can cause lower back pain groin pain abdomen pain and other pains eHow has an article with some very good exercises to loosen the muscle and relieve much of the pain It walks you through the Side Plank Leg Lifts Ball Squats Lunges Hamstring Curls the Ball Raise
2145,fitness,You cannot target an area of the body for fat loss The body will determine where to add or remove fat Just stick with your routine and make sure that you burn more calories than you take in every day and you will be certain to eventually lose the gut It just takes time
2938,fitness,Well it's not outdated to be sure I'm an Exercise Science major at Ball State U and I hear that you should not sit down immediately after intense exercise I'm not exactly sure of the mechanism but if I remember right it is because of the way venous blood returns to the heart Muscle contraction is a large mover of blood back to the heart by pushing blood past one-way valves located throughout your veins (not arteries) For example when you finish working out your legs if you sit down you won't be using your leg muscles so you won't be pumping as much blood from your veins back to the heart If not enough blood gets back to the heart voila your blood pressure drops and you can pass out If you ever feel like you are about to pass out from anything cross your legs and squeeze your thighs and butt muscles It quickly returns blood to your heart allowing you to maintain blood pressure to the brain I promise it works
2143,fitness,Eating carbohydrates (sugars and complex carbs not fibers) will prevent you from getting light-headed weak or tired during exercise Often a single piece of candy or a cookie is enough to restore and maintain energy Play around and determine the amount that works best for you but don't take more than you need or you'll lose the weight-loss/maintenance benefits of the exercise
2147,fitness,With work you can improve your static-passive flexibility at any age However the gains you will see in time will significantly decrease as your age increases the older you get the harder it is to gain flexibility Stating that it's impossible would be entirely incorrect though See the How Aging Effects Flexibility section of Stretching and Flexibility - Flexibility by Brad Appleton for some of the scientific reasons behind this
2173,fitness,For many people full feeling is usually triggered by fat rather than by the mechanical stuffing of the stomach Red meats tend to be higher in fats than poultry and fish adults are advised to consume on average no more than 70g of red meat per day Poultry and fish are not red meat Pork sheep and beef are the most common red meats that you will encounter in a modern western diet If you are concerned about getting enough protein one could add tofu or tempeh to one's diet although tofu can be high in fat
2159,fitness,Try rolling over onto your stomach and doing a superman You can hold tension in the position or do reps similar to doing reverse situps ref site Also you might think about doing slow squats or wall sits where you focus on contracting both your abs and lower back Tense up so as to make the line between anus and belly-button as short as possible during this exercise - maybe you can replace your ab work at the same time
2377,fitness,If you are actually overweight meaning that your body considers itself to have excess fat then you can restrict calories significantly as long as you maintain a healthy lifestyle of exercise and can do so without becoming exhausted or excessively hungry Some people can reduce intake into the low hundreds (300-500) or even stop eating completely for a period of time and stay active and are healthy while others have to stay above 1000-1200 to maintain an active lifestyle Personally when I was on a weight loss plan I was able to go for a period of time eating 3-4 small meals (~500 calories per meal) each week This only lasted for a few weeks and during that time I lost an average of a pound each day During that time I walked 4-5 miles every day and remained almost as active as normal with only very slight changes Your body is intelligent enough to start burning the stuff it needs least first and will not start to burn needed/used muscle until you are down to your lowest healthy body fat percentage If you sit on the couch and don't eat your body will consider muscle fair game since it isn't being used Calorie reduction will also cause dehydration and the further you reduce the more severe the dehydration becomes Be certain to drink all the pure plain unaltered water (I stress pure water) that you need Drink water any time you feel thirsty Talk to your doctor before you decide to do any diet especially any form of extreme calorie reduction Some doctors refuse to recommend extreme calorie reduction for patients while others are fine with it but at least ask about the risk specifically presented to your health as your doctor will know your health history best Be absolutely certain that you do not continue a calorie restrictive diet past the point of reaching your minimum healthy weight or you will begin burning muscle The muscle you will burn includes your internal organs such as your heart Taking muscle from your organs is extremely hazardous to your health and can lead to long term or permanent damage
2167,fitness,Do something that doesn't require strength in the traditional sense (i e moving large weights) For example with yoga I often found myself shaking and occasionally falling flat on my face even though the exercise didn't seem hard or difficult at first Try holding the posture for 10+ seconds and it's a different story I also found that on average in my class women were doing better than men so this is probably a good thing for what you're looking for
2163,fitness,Typically a good carb indicates that the food has nutrients and is absorbed into the bloodstream slowly Whole Fibers husks and other materials provide fiber (which limits an insulin spike) and vitamins (e g Choose brown rice over white rice) Unrefined Refining processes typically remove nutrients In addition they tend to render foods such that they are absorbed faster (e g Avoid regular white flour in favor of stone-ground or better yet avoid flour altogether) Complex Natural foods containing complex carbohydrates instead of sugars or starches have fiber and other material that helps slow the absorption into the bloodstream (e g Choose beans over potatoes) Low-Glycemic The glycemic index (and the related glycemic load) is a measurement of how quickly foods are absorbed into the bloodstream Low-glycemic is typically defined as foods with an index no higher than 30-50 (normalized against table sugar at 100)
2215,fitness,There are many factors that contribute lack of energy but nutrition-wise one of the reasons is fast carbohydrates (especially sugar) Carbonated soft drinks are usually the worst offenders After you consume sugar it immediately ends up in your blood so your blood sugar level rises rapidly Your body counters it by producing more insulin to maintain stable sugar level Since it has to produce a lot of it ( insulin spike ) your blood sugar level plummets leading to loss of energy and the feeling of tiredness Cut out sugar and sweets out of your diet or at least limit it significantly
2171,fitness,I would suggest you look at solving your craving by eating fruits which are naturally sweet and not an unhealthy food You can vary this by eating different types of seasonal fruits or try and find your favourite I love to eat watermelon and rockmelon (canteloupe) after a workout If you like the flavour of chocolate not necessarily the sweetness you can try something like carob bars which have a similar taste
2388,fitness,Any time you perform an activity that causes joint pain or soreness you're doing long-term cumulative damage to your joints Typically soccer (football) should not cause knee joint pain There are a few different things that can cause this Incorrect or badly fitted footwear Try some different shoes Incorrect technique/balance/weight If you're overweight and running or if you're not moving with some fluidity (running smoothly vs pounding your feet) you'll hurt your knees Weak or previously injured joints Some people have weaker joints due to genetics or poor nutrition Others have weakened joints due to prior injury Typically damage done to joints especially to the knees is permanent and cumulative Every minor injury adds up even some of the ones you never feel If the pain persists check with your doctor and see what he recommends There are some great products now for people who have weakened joints to help alleviate any pain from activity
2326,fitness,I think that inherently there's nothing bad about minimal shoes but as the saying goes if the shoe fits wear it The shoes aren't for everyone so while it may be great for some they can be harmful to others A shoe like the Nike Free was designed to be used together with regular running shoes to mimic barefoot walking on a grass field as an additional workout Studies from the university of Cologne showed that the strength in certain muscles (especially the one used for bending the large toe) increased after training with the Nike Free But you can imagine what happens when somebody starts using them all the time rather than complementary to normal running shoes Instead of increasing strength you're far more likely to overuse those muscles instead I agree with a lot of the arguments that are being made in the advantage of these shoes but I would personally only recommend them to more seasoned runners and people without overweight or excessive pronation The first group has the technique and the fitness to cope with additional stresses that might arise from wearing them The other two points mainly exclude two high risk factors for getting injuries in the first place so I wouldn't recommend them to experiment Perhaps everyone could wear them but then I would advise them to start wearing gradually and preferably as much as possible The advantage of this is that you give your body the time to adapt and strengthen the muscles to deal with running without 'support' The main advantage of this off course would be that overall stronger muscles make you more resistant to injuries so that's always a good thing
2307,fitness,I head to NIH if I want non biased supplementation information The problem is that it almost always has to do in the context of disease so their write-up seems to be effective in the context of Osteoarthritis Osteoarthritis Most research on glucosamine sulfate has measured its effectiveness on osteoarthritis of the knee However there is some evidence that it might also help osteoarthritis of the hip or spine Some research suggests that glucosamine reduces pain of osteoarthritis in the knee about as well as the over-the-counter pain reliever acetaminophen (Tylenol) It also seems to reduce pain about as much as the nonsteroidal anti-inflammatory drugs (NSAIDs) ibuprofen (Motrin Advil) and piroxicam (Feldene) But there is a difference between glucosamine sulfate and these drugs in the time it takes to reduce pain The NSAIDs such as Motrin Advil and Feldene relieve symptoms and reduce pain usually within about 2 weeks but the glucosamine sulfate takes about 4-8 weeks Glucosamine sulfate does not seem to decrease pain in everyone who takes it Some people get no benefit Some research shows that glucosamine sulfate might not work very well for people with more severe long-standing osteoarthritis or for people who are older or heavier In addition to relieving pain glucosamine sulfate might also slow the breakdown of joints in people with osteoarthritis who take it long-term Some researchers hope that glucosamine sulfate might keep osteoarthritis from getting worse as quickly as it otherwise might There is some evidence that people who take glucosamine sulfate might be less likely to need total knee replacement surgery When I want to know things related with sports I use the British Journal of Sports Medicine keep in mind most of the content is behind a paywall Fortunately this study on glucosamine is not glucosamine supplementation can provide some degree of pain relief and improved function in persons who experience regular knee pain which may be caused by prior cartilage injury and/or osteoarthritis The trends in the results also suggest that at a dosage of 2000 mg per day the majority of improvements are present after eight weeks
3858,fitness,I'm going to answer your question in the way that you requested in categories not a list of examples Metabolism Boosters Spicy Foods - Jalapeno Habanero and Cayenne Peppers Protein Meat - Lean Beef Pork Chicken and Turkey Protein Dairy - Milk Yogurt Protein Fish - Salmon Tuna and Sardines Protein Eggs - Chicken eggs Caffeinated Beverages - Green Tea and Coffee Whole Grains - Brown Rice Oatmeal and Quinoa Dark Leafy Greens - Spinach Bok Choy and Broccoli Low-sugar Fruits - Apples Pears Berries Oranges Kiwis and Peaches (organic preferred) Resources/Links Fifteen foods that fire up your metabolism 15 fat-burning foods 4 food groups that can boost your metabolism Foods that Speed Metabolism
2564,fitness,HFCS is usually 55% fructose and 42% glucose while sucrose is 50% glucose and 50% fructose molecule - this is why HFCS is slightly sweeter Glucose can be used as energy in every cell in the body while fructose like ethanol must be metabolized in the liver Fructose in nature is fairly rare (small quantities in fruits packaged in lots of fiber) so it is not surprising that the liver is not prepared to process the large quantities of fructose in our current western diet While HFCS is not in itself worse than sugar its low cost (made from subsidized corn instead of highly taxed sugar canes) makes it very attractive for food manufacturers to put HFCS into everything - soda milk sauces bread you name it So instead of ingesting a few grams of fructose many people on a western diet now ingest several ounces and that depending on who you ask is bad very bad or the single leading cause of the obesity epidemic Other sweeteners are not sugars; if they're harmful they're harmful in completely different incomparable ways For more information about the metabolism of sugar see Sugar The Bitter Truth
2238,fitness,1 kilo fat equals 7000 kcal or 1 pound fat equals 3500 kcal so if you keep your diet the same and start working out more that's how it takes to loose a kilo So assuming your 2 workouts burn 300 kcal together you need 7000/300 = 23 3 workouts to loose a kilo That would mean you would have to train nearly every day of the month to loose it Clearly that's not really an optimistic goal to work towards though on the other hand it's easier to keep up since you don't have to eat less (but not more ) and the result is probably more sustained than with some crash diet Off course increasing the intensity or the duration will chance those numbers but adding more 'exercise' is a more effective way of increasing the amount of calories burned in a day cycle to work take the stairs take a stroll during lunch etc Your other option would be to consume 200 kcal's less each day which would also result in a 1 kilo difference So doing them both would probably give you quicker results Funny enough if you add those two you get the 500 kcal that @Campbell mentioned so I guess his estimate seems about right
2939,fitness,This might be tough to hear but you should also consider the fact that not everyone is gifted with a body that can handle pro-athlete levels of activity If your legs are constantly tired/heavy and you see no improvement (and ESPECIALLY if you see backwards progress) I would say your body is telling you it's not ready for that level of activity (at least not yet) Back it off a bit let your legs recover and try easing into things I'm not saying you shouldn't push yourself but at the same time there is such thing as overtraining and at that point all the time you put into your training is counterproductive and wasted Stubbornness can be the enemy of progress sometimes
