Id,Body,oblast,odgovor
2086,I travel a good bit for my job As a result the weeks that I travel often involve a lack of physical activity since I am primarily a weight lifter when it comes to exercise and most hotel gyms have very little useful equipment for weightlifting - if they even have it at all With that said I'd like to develop some 30 minute routines to at least maintain some semblance of strength training while I'm on the road Presently all I end up doing for strength training without weights is a mass number of body squats pushups and some core work This hits a number of muscle groups but not all It is also very boring and not fun What are some suggestions for developing some routines that will ultimately encompass all muscle groups for times when I travel and have no access to any weightlifting equipment whatsoever,fitness,2106
2087,For the past two weeks I've been getting up at 5 30AM every day to workout I do a DVD-based workout at fairly high intensity Because of my life demands I've only been able to fit in about six hours of sleep a night Am I headed toward burnout / injury / problems or can I maintain this sleep pattern for the next three months,fitness,2941
2096,Why are rest days important When the weather permits I jog (or otherwise work-out) every day but people often tell me I should not because rest days are important What is the rationale behind this,fitness,2105
2097,About five years ago I did BJJ about five times a week It was one of my favorite hobbies of all time with the exception of all the amount of annoyances that came with it carpal tunnel pain finger numbness knee pain lower back pain bumps and bruises back thrown out knee injury toe injuries With the advent of a family fatherhood and career ambition it took a backseat to my life and eventually was phased out But I have a daydream of getting back into it The problem is I'm 41 now and I can't show up to work in crutches and elbow braces anymore Is this type of high-intensity sport better suited for a young man's life,fitness,2101
2113,I like to run outside and therefore need shoes to run However there's a massive market for running shoes and I get lost in all of the options What are some guidelines in selecting a good shoe for running (Note I'm not looking for which is best but rather what technology or features should I look for),fitness,2166
2115,This one has been bothering me for quite a while I've heard different opinions on this ranging from There is absolutelty nothing to worry about running is great for you to You definitely shouldn't be running while overweight And since I'm asking this about myself a few specs I'm 195cm(6' 4 ) about 124kg(275 pounds) and have been moderately active in the past In a nutshell If I start running now will it be detrimental to my knees even if there is only discomfort not something I would really call pain,fitness,2135
2118,I've never made real exercise Recently i began doing push-ups starting with 1 a day and finally increasing it to 15 day Sometimes doing it 3-4 times (45-60) If i continue this routine will it help to reduce my belly fat Thank you,fitness,2123
2120,Currently I'm exercising 3 days a week (every other day) each day doing 2-3 muscle groups Currently my goal is to increase muscle mass My question is given my exercise goal is it better to really stress a given muscle group for a single day and then ignore it until next week or to work out all groups each day but to a lesser extent,fitness,2127
2124,I am doing very light workout e g 10 push-ups a day I want to know that if I keep my diet to cereals with full-cream milk will it have any effect on my belly fat,fitness,2138
2134,I've been working on my own workout structure for sometime now trying to find the right combination of warm ups and exercises I always begin with a warm up working on the muscles I'll be hitting that session Then I move on to the exercises I need to be freshest for eg any sort of jumps box jumps etc Then I'll work on resistance exercises finishing with treadmill or bike work Is there any scientific theory behind constructing workouts in the right order,fitness,2223
2137,Can tight psoas muscle cause lower (lumbar) back pain If yes which exercise would be best to recover Thanks How do you differentiate if the pain in lower back is because of tight psoas or due to locked facet joint (No neurological problem) EXTRA (if it seems relevant to question) This pain also seems to sometime transfer to hip and tail bone and as per the MRI and X-ray reports there's no disk or nerve pinching problem I've had ~10 MRIs and 10 X-rays and all show no problem in spine or joint Though there's inflammation in hip (it was in SI joint as well but now it is not) It seems to me now that it is probably a muscle related problem,fitness,2141
2139,I can do plenty of sit-ups and other ab exercises I also have a house-mate who is a personal trainer so I know I'm doing them right However I can stick to a routine of doing reasonable quantities of abdominal exercises every second day But I usually loose interest after 3 - 6 months as I never see any results My abs are definitely stronger however I think I have a hereditary beer gut It just doesn't want to go away I also combine these exercises with a reasonable diet and other exercise e g swimming jogging and other team sports,fitness,2145
2140,I've heard numerous times that you should not sit down immediately after the exercise when the heart rate is high and you should stand and walk around for a bit However I don't remember a convincing explanation as to why this is the case Is this true or an urban myth based on some dated research If true what exactly happens in a human body that makes it bad,fitness,2938
2142,Sometimes when I play football (soccer) I get incredibly light headed similar to when I'm really hungry What is the best type of food I should eat before playing a team exercise preferably something that won't feel heavy,fitness,2143
2144,I've heard that improving passive static flexibility is only possible for children but for adults it's more or less set in stone because it's not possible to lengthen the ligaments as you age So by this logic it's hopeless for an adult with average and below-average flexibility to try to do a split Are there any studies that would confirm or deny these claims If it's not true what kind of exercises can improve passive static flexibility in adults,fitness,2147
2150,My family are all big meat eaters We are country people who like to BBQ A recent article on BBC news says that adults are advised to consume on average no more than 70g of red meat per day I am probably eating around 200g of meat per day (this can be chicken fish pork or red meat) Regardless of the type of meat I am guessing this is too much However if I cut back on meat I get really hungry about half an hour after eating which is a temptation to start eating snack foods What can you suggest I can use in replacement of meat in my diet that will let me feel full and also won't have me feeling hungry again after 30 minutes,fitness,2173
2153,It seems there are a ton of easy ab exercises but very few for the lower back to keep the muscles balanced as your abs get stronger What are simple home exercises for the lower back,fitness,2159
2155,If I'm on a calorie deficit and trying to burn fat at what point do I start burning muscle instead of fat How can I be sure that I'm eating enough to minimize muscle loss but remain on a calorie deficit so that I can burn fat,fitness,2377
2157,My wife and I are quite competitive however being of the opposite sex it's hard for us to compete with things like push-ups etc I'm looking to find some other exercises that we can do together that have a competitive edge but where we can be on an even playing field Note my wife is around the same fitness level but not the same in terms of strength,fitness,2167
2158,How do you determine if something is good carb or bad carb Reason I ask is after a month of hardcore working out I realized my body has changed While I was eating five meals a day with very low carbohydrate I find myself now in need of six - seven meals daily else I feel dizzy I am ALOT leaner compare to pre-workout condition I was told to intake more carbohydrate but I don't want to over do it So what's the best way to determine if food is good carb or bad carb I guess i should word it better Ok let's say if i were to go into a grocery store today and shop for good carb food what would i be looking for and what's the most obvious way to look for them Besides simply reading the label which fresh produce usually don't have,fitness,2163
2165,What are the best ways to maintain my energy levels throughout the day I find that I am becoming very tired during the day and go to bed early but then wake up still tired In particular things in my diet that I should include more of and things that I should avoid to increase my energy Also fitness activities that would help my energy levels as I understand the body has some natural energy rhythms but not how to best take advantage of these,fitness,2215
2170,I've been on a reduced calories diet for past 4 months and lost about 20kg but I keep on getting sweet tooth The main unhealthy thing that I eat is mostly 85% chocolate which I usually eat after excercising By eat I mean I take couple of bites not eat the whole thing ) Is it better to eat something like this more less regularly or just try to stick with the diet for as long as I can and then eat a lot of it By that I mean letting myself off the diet for a day or something like that What do you recommend And when I'm about to eat some chocolate should I do so before or after some excercise In the morning afternoon or it doesn't matter,fitness,2171
2179,I regularly play football (soccer) and jog a couple of times a week for at least an hour I occasionally experience soreness with my knees I'm worried I might be doing long term damage However on the football field I see a lot of guys 10 - 15 years older than myself that can still run and plenty of them faster than me Is there any chance the impact from doing this type of exercise will be doing damage in the long term,fitness,2388
2182,Over the past few years barefoot (or close to it) running has become extremely popular New Balance Nike Saucony and I'm sure more have come out with minimal shoes not to mention the Vibram Five Fingers We hear enough about the benefits from ad campaigns - what are some potential downsides of running in minimalist shoes,fitness,2326
2183,Glucosamine is quite popular and is featured prominently in pharmacies and supermarkets in Australia I was once recommended by a GP to take glucosamine tablets to reduce joint soreness as I exercise quite regularly and occasionally have joint soreness Is there any evidence (peer reviewed papers etc ) that glucosamine actually works to built up cartilage in joints My personal experience was I didn't notice any perceivable difference,fitness,2307
2187,I am looking for some diatary ways to keep my metabolism high especially between meals What kinds of foods or supliments can help keep your body processing long after you've consumed them Ideally I'm looking for categories not a list of examples,fitness,3858
2188,We all know that sugar intake should be limited in general but people seem to look on high fructose corn syrup especially poorly Why is it any worse than sucrose Crystalline fructose Other sweeteners such as stevia or aspartame,fitness,2564
2193,My BMI is 26 8 which means that I am in the overweight category When one hits a gym regularly every day what is the minimum amount of calories that he should burn in order to see a change in his weight over a month's time I generally focus on simple exercises like being on the treadmill for around 20mins (150 Cal) and on the cross trainer for 20mins as well Is this enough or should I increase my workout,fitness,2238
2200,It seems that every time I do a leg-intensive cardio workout like stair climbing intense elliptical machine or running more than 3-4 miles my legs take forever to bounce back They don't hurt so much as they just feel heavy and lethargic I try to do cardio every other day but my legs seem to only allow intense cardio once or twice a week What are some strategies for combating this so that I can do intense cardio at least 3x a week,fitness,2939
2203,Is there a way to measure how much protein a person should consume per day based on their body weight The objective is to burn fat and maximize metabolism,fitness,2217
2204,I often like to set short term goals that don't really work for weight loss I'm wondering if there is a general principle I should obey like 'lose 1 kilogram per two weeks' - what sort of rate of weight loss should I work towards I'd appreciate it if anyone had any good information or sources that discuss this topic,fitness,2240
2213,How do alcohol calories work I'm not talking beer but straight gin or vodka I've heard it's about 100 calories per ounce and it's not digested by your normal digestion system but your liver What kind of effect do alcohol calories have on the body And can I get away with having a gin every night on a strict diet,fitness,2231
2214,I'm guessing you progress at different levels for different exercise but as a (very) general rule of thumb would it be reasonable to add 10lbs a month with bench presses and maybe more like 20 with squats,fitness,2222
2216,I hardly ever do curls or any exercise that focuses solely on making my arms stronger I've found however that they're probably the part of my body that grows the fastest as a side effect of the other exercises I do I guess my question is is that fine,fitness,2639
2220,I've seen these terms a couple times here already Also is there a good place to ask these questions I feel what are some good exercise terms and their meanings would get closed,fitness,2224
2232,Possible Duplicate I am underweight How do I gain weight and muscle Here's some info about me I'm 21 years old Weight 50kg (110 pounds) Height 1 70m (5'7 ) What would you suggest I do to gain weight I've heard about Creatine and doing exercises but I need some advice what should I eat or what routine should I follow when doing exercises,fitness,2235
2233,To my limited knowledge - you must train differently depending on what you want to achieve E g to lose weight one should do small weight lifting with lots of repetitions (also - according to my limited knowledge) What are the traits of other workout types (gain muscle strength improve stamina etc ) And what are the types of workouts in general,fitness,2263
2236,I am 12 years old and we have a school-wide relay champiniship and I was wondering what is the best tips to train in a 4x100m relay So I was wondering how do you train for a relay UPDATE We won by a few secs on now we are in Dictrect Aths relay team,fitness,2239
2245,Is there any truth to the claim that you should wait (at least) an hour after you wake up before you start a workout I've heard something about the back is not lubricated enough before that but that doesn't make sense in my opinion,fitness,2259
2248,I am six weeks away form my first marathon and the last two and half weeks of training have been badly affected as i have been suffering with a bad winter cold I am still coughing fairly regularly and don't feel fully over it but am starting to get concerned that my fitness level is going to start spiraling downwards if I don't start getting back out and racking up the miles My last long run of 19 5 miles was over two weeks ago now and I've only managed a couple of easy 4-6 miles since Should I just continue resting until I feel fully recovered and accept that I probably won't achieve my sub 4 hour goal or can I start to get my training schedule back on track as I recover Would running actually help me clear my chest and help recovery or could I end up causing more problems for myself,fitness,2252
2249,Can someone put in human terms what does it mean to work out in anaerobic pulse zone Update I mean anaerobic heart rate in context of running on a treadmill I'm 26 and while running on 12km/h speed my heart rate is 170 which is (according to table hanging on the wall of the gym I go to) is between anaerobic workout and red zone,fitness,2311
2262,How can I calculate my BF%,fitness,2266
2271,For a healthy heart I've got myself into a habit of stopping by the gym after work and using the fitness equipment (treadmill stair machine etc ) or using the stationary bike I have at home However I'll have a vacation in the future where I'll be in a foreign city for a few weeks I won't have access to a gym or fitness equipment I can take a pair of running shoes but I don't think I'd like to run in a foreign city and I'm not much of a runner So aside from running what other kinds of cardio exercise could I do while on vacation say from the comfort of a hotel room I know sit-ups are easy but could those be considered a cardio exercise,fitness,2652
2272,In one book I read the target heart rate for a cardiovascular workout for a person my age (36) was somewhat lower (10-15bpm) than the rate listed on some of the machines I'm familiar with at the gym I've also seen the range differ slightly from one brand of machine to another So I'm slightly confused about this I don't want to overdo it but I also don't want to underdo it Is there definitive information available (e g a study or paper) that details the correct approach to estimating one's target heart rate range,fitness,2291
2277,I've been told when doing cardio to breath in through the nose and out through the mouth Where I live though the air is cold enough 3-4 months of the year so that deep breathing through my nose stings my nasal passages Is this healthy Should I change up my breathing pattern or will the stinging go away,fitness,2341
2279,My husband and I have both been lifting dumbbells in an attempt to build some muscle We feel like we're hitting our upper arms pretty well but not the lower arms What are some good exercises to work the forearms,fitness,2287
2286,When I lift weights I lift heavy I expect to be sore afterwards because I know I've pushed myself hard Unfortunately sometimes I push myself too far and get very bad delayed onset muscle soreness (DOMS) What can I do either before working out to prevent excessive soreness or after working out to relieve the soreness,fitness,2289
2290,I've reached a point where my training runs are long enough (2 - 3 hours) and far enough (15+ miles) that I need to take on board some additional energy in the form of gels and/or sports drinks in order to complete them Is there any documented or recognised rate or consumption or guidelines as to how this should ideally be done in order to get the maximum benefits Should they be taken at regular intervals throughout the run or delayed towards the second half of the run I appreciate this will vary depending on effort and fitness; I am currently using a couple of gels and a bottle of sports drink to get me through a 19 5 mile three and a quarter hour run although the last 3 or 4 miles are still a real struggle,fitness,2349
2292,I'll start this Shoulder dislocations - great for improving shoulder mobility,fitness,3302
2293,I have heard a lot about the 'barefoot' running idea that has seemed to gain a lot of popularity with the book Born to Run The main idea is that the human foot has evolved to be very effective at running and by putting a lot of things in between it and the ground we more often cause problems then solve them I don't plan to actually run barefoot but I was thinking of getting some Vibrams since the general idea seemed to make sense to me and they are designed with barefoot running in mind I have seen the flame war arguments about statistics on this so don't bother sharing any of that What I am really looking for is information from people who have tried both running with traditional running shoes and have also tried running with something like Vibrams I want to get an idea about what the difference has been for real people who have actually tried it and who don't have a vested interest in one side of the other,fitness,2386
2297,Being a student I'm not exactly rich I can't currently afford a gym membership or to buy training equipment Luckily my roommate has been kind enough to let me borrow his equipment So far I've been able to get by with the dumbbells and barbells he lent me Recently I realized I have not trained my grip strength in a long long time Unfortunately the only grippers he owns are far too difficult for me Here's the equipment I have at my disposition One weight training bench Several weight disks (2 5 lb 5 lb and 10 lb) Two barbell bars Two dumbbell bars Two 15 lb dumbbells With that gear is there any exercise that I could do to improve my hands' grip strength,fitness,2306
2300,If my goal is size EDIT Since other people with potentially different goals than mines are likely to see this question it would be good if your answer includes the optimal rest times for different goals (strength endurance etc),fitness,2301
2308,Both Gatorade and Powerade claim to help fill your bodies needs of electrolytes vitamins and other nutrients I'm looking to find out if there's documented proof that these drinks really make a difference in your workout or replenishment of nutrients,fitness,2317
2312,I own a gym quality elliptical at home I'm using mainly to do cardio for weight loss purposes Should I be looking into adding other equipment to my home gym or other exercises to my routine in order to get a more balanced workout or perhaps see better results,fitness,2360
2313,There have been a few times in my life where I believe I have experienced the phenomenon called Runners High or the euphoric state during a run where you feel like you can keep running for forever My question is two fold What exactly is this sensation Are there ways to 'train' your body to get into this state quicker,fitness,2316
2320,Is is possible to take on enough protein to build muscle whilst eating a vegetarian diet Many sources of proteins such as meat poultry and fish are obviously ruled out Do you have experience of building muscle without meat I'd be interested to know which foods you do consume,fitness,2321
2328,I use creatine and L-glutamine for my workouts typically taking the L-glutamine about an hour before my workout and creatine immediately after (I don't take them together because I understand they compete for receptors limiting absorption) I also try to keep the load up by taking creatine first thing in the morning and L-glutamine last thing before bed regardless of whether I worked out that day My question is do I need to take these supplements on rest days in order to maintain my load Should I be taking two servings* of each on rest days instead of just one Are the daily servings unnecessary *A serving for me is typically a heaping spoonful dissolved in water or cold tea (I know that a sugary drink would help absorption but I'm not willing to take the downside of the sugar),fitness,2370
2329,I regularly workout on my own but on the occasions I workout with a training partner I find my motivation increases my output increases and perhaps most importantly my overall enjoyment increases Jason Ferruggia (a world-renowned S&amp;C coach) has always said that having a good training partner is one of the best things you can do to enhance your rate of progress With this in mind how do you go about finding a training partner if indeed you workout with a partner at all Is it possible to walk into a gym and find people there Is it possible to workout with friends (Especially if you're there to exercise seriously rather than catch up and chat) What experience do you have on finding a training partner,fitness,2331
2334,Whenever jogging for long distances after some time I feel my breathing is quite laboured The only solution is to slow down my pace for a while before proceeding I have checked with my GP and I don't have asthma Are there any exercises or techniques I can use to improve my breathing or lung capacity that will be a benefit while I'm jogging,fitness,2338
2335,The number of push-ups I can do is dismal I have tried over the years to increase the number and have received to pieces of advice Start easy and try something like a raised bar or railing and work your way down or start on your knees until you strengthen your arms Keep persisting even you can initially only do a few you will eventually be able to do more I've tried both approaches but never seem to get anywhere more than around 15 and then collapse in a heap What can I do to increase the number and be able to do more without it being a major struggle as neither of the above methods seems to work,fitness,2350
2344,I have just won my school's 200m race which means I qualify for the Athletics in a month's time At the moment my time for 200m is 36 37 secs I am 12 years old and this is my first race over 200 What should I do to practice for it,fitness,2357
2346,Should or shouldn't I run when it is cold Is it easy to pull a muscle,fitness,2355
2352,During my run today I suddenly felt weak with hungry about 15 minutes after I started This only happens some times -- not every run I feel very hungry and weak and I can usually only make it to about the 20 minute mark before I have to stop I assume it must be nutrition related Today I had Breakfast 3 x multigrain weetbix with light milk 1 tub of light yoghurt slice of toast with slice of cheese and vegemite glass of apple and mango juice Midmorning cup of tea with spoon of sugar Lunch chicken breast in roll with some chips 600mL Coke zero I went for the run in late afternoon Any advice appreciated,fitness,2368
2354,What techniques are there for identifying areas you need to work on and that you will be likely to injure so you can work on that areas before they get injured Update Most of the activities I do are high explosive all round work-outs like combat sports,fitness,2385
2365,To what extent can a good exercise programme help to recover lost muscle in people over 70 who while very fit and active have not exercised regularly in earlier years,fitness,2369
2366,I heard to help muscle growth one has to sleep a lot after doing a workout How long is the recommended one Does this mean the best time to workout is at night so you can go to sleep immediately after,fitness,2367
2378,Here is a good definition of mental toughness Mental toughness is having the natural or developed psychological edge that enables you to Generally cope better than your opponents with the many demands (e g competition training lifestyle) that are placed on you as a performer Specifically to be more consistent and better than your opponents in remaining determined focused confident resilient and in control under pressure Where can I learn more about mental toughness and how to develop it,fitness,2382
2379,Are there any substantiated health risks to a high protein low-carb diet,fitness,2408
2395,I usually do a 10-20 mins Cardio (Treadmill/Elliptical/Cycling) before I go for the weights and other exercises Is this a good practice Would there be any advantages if I order my routine differently,fitness,2397
2400,FiveFingers are great shoes for running hiking and general lounging I believe that running barefoot has improved my fitness and also general running ability -- even with conventional shoes But they possess an interesting characteristic that my wife loves to remind me of they stink Not just a little stink These are a put those things out on the patio and go take a shower level of stink Vibram states that you can wash your FiveFingers in the washing machine and then air dry This gets rid of the stench for a short period but it usually comes back after wearing the shoes a few times If I wear Injinji socks with the shoes it keeps the stink away but that's not going to be practical once Minneapolis emerges from it's arctic winter For the sake of my marriage what's the best way to keep my FiveFingers from stinking,fitness,2401
2405,I know my form isn't terrible but it certainly isn't perfect either How do you work on improving it Are there certain exercises that will strengthen the right muscles and force better form Do you concentrate on footfall while running,fitness,2410
2409,What weight training exercises can I do with dumbbells that will benefit me most for running 5-10ks Are stomach crunches/sit ups worth doing too,fitness,2438
2416,I always see BMI charts posted in various health related places and I know life insurance companies use it for assessing risk I've heard the normal range of the index is supposedly based on what normal was in 1800s Poland Is this true In any case should a reasonably bulky person using cardio/strength training ever expect to hit that normal range in the normal course of events or might one expect to stay in the 'overweight' category due to new muscle mass,fitness,2417
2418,Each day I drink lots of coffee and energy drinks (redbull 355ml cans) I go to gym 3 times a week (on evenings) Are there any effects on my workouts I stopped drinking any caffeine (at least from coffee and energy drinks) for 3 weeks and didn't feel any changes Not during daytime nor before during or after my workouts My friends often tell me that my heart will explode from such huge amounts of caffeine (I read about caffeine OD and felt caffeine induced disorders symptoms) My question is what's the effect of caffeine on heart/body when person is working out,fitness,2419
2424,My gym got a new back extension machine recently and it is horrible It's designed for someone much smaller than me the angles are all wrong and I find it very difficult to isolate the right muscles (I end up working my legs instead) Is there a way I can target those muscles and do weight training using other equipment available at the gym Edit I had been lifting > 100 pounds with the old back extension machine,fitness,2426
2425,I'm a long distance runner thats not really a fan of all the goo type products I'm curious if there are any natural sources of concentrated sugars with the right balance of electrolytes for long distance running I know that fruits are the most obvious natural sources for these nutrients but which fruits Is there a specific mix of fruits Dried fruits Should salt be added Is the high fiber a concern (don't want to have to go to the bathroom during a race),fitness,2427
2428,While using the freestyle technique of swimming what is the proper way to breathe Is using the nose to breathe out while under better or is there any difference Is there a specific number of 'strokes' that should be done before taking a breath I've been told to alternate your breathing sides and to always make them opposite of the arm raised out of the water is this correct,fitness,2460
2429,There are multiple technique out there with the two I mainly use being breastroke and freestyle Is there a difference between the two as far as their effectiveness in a cardio workout Is there a technique that stands supreme for cardio or is swimming in general just effective,fitness,2453
2430,Recently I have started Yoga but I find myself unable to hold any position more than ten seconds I was told to exaggerate my posture but I simply could not My flexibility is horrific and feel counter productive even when I follow the Yoga books and routines (books and videos) It has been two weeks and I am having hard time improving it Is there a modified way to help me get into the basic positions of Yoga before I can at least be effective in beginner Yoga workout How can I improve,fitness,2443
2433,Should one continue to exercise even when sick I know it may depend on the sickness but what about minor things like a cold or fever Are there chronic sicknesses where you should still regularly exercise,fitness,2434
2436,I go for a 5km before work 2-3 times a week with a longer run at weekends I was doing crunches and other weight based exercises on the off days but have been advised to do it after my runs My question is why is this a better way to do it,fitness,2437
2450,I do several times a week strength and cardio training (Thai boxing to be specific) but also try to mix in extra weight sessions to build up muscle mass Is it good or bad to mix these two I've heard contradictory opinions none backed by evidence Which of the following is more correct Workout every day alternate the type of training (time sink recovery is tricky injuries heal slower) Do both in the same session (is it too much load for one session which one should go first ) You can't have it all it's a tradeoff stick to either one or the other,fitness,2452
2455,Are there benefits with stretching right after exercising Does stretching afterwards affect the risk of injury,fitness,2470
2456,Why is it common to rest between sets of repetition Could I instead of resting exercise another muscle group,fitness,2480
2462,Many creatine distributors health forums etc recommend avoiding mixing creatine with citrus juices as supposedly the citric acid could combine with the creatine to produce creatinine which isn't a useful substance for strength training and bodybuilding However it occurs to me that stomach acid is stronger and more acidic than any juice that one is likely to drink So is there something specific about citric acid and creatine that would not apply to stomach acid or is the creatine/citrus warning a myth,fitness,2463
2468,I'm spending most of the day in front of the computer (10+ hours) and as expected my wrist tendons experience strain during work Normally this wouldn't be much of an issue but after I have started training more aggressively (especially with free weights) I feel slight pain and weakness in the wrists when they are at unnatural position under load The frequency of training is not the issue -- usually at most 3 times per week and I do torso/arms exercises only twice per week Now the questions Which arm exercises are known to put less strain on the wrists I'm interested in upper-arm/chest exercises mostly but advice for other muscle groups is appreciated as well Is there something else I can do to reduce the problem (training accessories special exercises other) Edit I'm doing exercise on the weight machines and cables mostly some free weights and stretching No push ups whatsoever,fitness,2482
2472,What exercises do you recommend if one's main target is broad shoulders (and chest too but less priority) Does reducing exercises for other muscle group help Any other tips,fitness,3234
2473,There are plenty of selections that athletes have in selecting socks Most of these socks are ear toward moisture whicking material My question is do these type athletic socks make a difference in the overall care of the foot and thus performance of the athelete,fitness,2474
2481,I have seen fitness programs that focus six days of workout per week and following three or four weeks have an entire recovery week The term recovery is misleading because you still workout six days a week but it's just on a lighter weight I am wondering why or if this week is needed,fitness,2562
2483,Are two or three finger push-ups a matter of finger/hand or arm strength What techniques should I use to learn two or three finger push-ups (if it is finger strength how do I build this up etc ),fitness,2486
2484,I can't do a single decent chin-up are there any easy alternatives that I could build up in quantity as a forerunner to being able to do chin-ups Alternatively are there are any weights exercises that could help achieve this Are there any online resources that outline a program for beginners to learn chin-ups and increase the number Maybe something similar to hundredpushups com that I can follow daily (I know they are working on a program called 25 pullups),fitness,2489
2485,I'm looking for some exercises that I can do in a swimming pool that will help my muscles to recover after a workout I've seen footballers on TV walking/jogging in the swimming pool the day after a match If you can provide some specific exercises and also timings for when this should be done (e g immediately after the workout or next day etc ) Could doing exercises in a pool actually provide more strain on the muscles if overdone,fitness,2502
2490,Is there a difference between the protein found in red meat (like beef and ostrich) and white meat (like chicken and pork) and protein from fish and should you aim to get these in in any particular ratio to one another Or could protein intake coming mostly from just one of these types be sufficient,fitness,2498
2492,After a hard work out it's generally a good idea to not stop immediately but rather to cool down What is the specific purpose of cooling down Does not properly cooling down affect the actual efficiency of the work out itself,fitness,2497
2493,Having already asked why a cool-down is so important my next question is how do you properly get into a cool down Please be specific of how to get into this cool-down with metrics that can either be measured for ALL exercises or to a specific type of work-out,fitness,2496
