Id,Body,oblast,odgovor
35,If I have structural or tool steel that has been treated to some standard (ASTM SAE ISO -- e g for hardness) but I don't know the details of the treatment is there a safe temperature below which I can work the steel without affecting its performance characteristics,inzinjerstvo,99
37,I am starting to use steel in some of my designs and while trying to learn more about this material and its properties I have realized that there is so much more to it than I thought How does the grading system used for steel work For instance what does Grade 11SMn30 mean and how does this affect the properties of the material Answers/comments indicate there are multiple standards which I did not know but I've found out that this is an EN grading,inzinjerstvo,53
38,The LTE specification specifies SC-FDMA as the encoding scheme for the reverse link (mobile to base station) when the forward link uses OFDMA What is the reason for the difference,inzinjerstvo,1945
49,This is similar to my Physics SE question Microtops sunphotometer sun target optics - there I was asking about the optics principles (the answer is no good for my understanding but I have been able to figure it out myself) The purpose behind a sunspotter is to show when a device is lined up in direct view of the sun - vital for fields such as sunphotometry etc This question is given that I now understand the optics principles involved (similar to a magnifying glass but smaller and does not burn when focused) - what method can be used to make a rudimentary sunspotter In particular I am interested in a suitable material that would be used for the sun target (as per the Microtops picture on the linked page) the same orientation of the sun target being perpendicular to the incident light What I am not interested in any device how to make a device that allows viewing of things like eclipses,inzinjerstvo,105
50,Recently both Zigbee and Z-wave tend to be the most commonly used protocol to communicate between IoT devices Most of these IoT devices tend to have a combination of mechanical or optical related transducer or actuator device component coupled with a micro-controller and respective software stack What are the major differences between Zigbee 3 0 and Z-Wave in relation to communication between IoT devices,inzinjerstvo,96
52,I am looking for multi-position bi-stable solenoids So far I have only found one vendor 1 with a 3 position bi-stable solenoid Are there multi-position bi-stable solenoids with more than three positions How can a 3 position bi-stable solenoid be mechanically amplified to multiple positions Why are these such a rare commodity What are the alternatives other than stepper motors 1 Note I'm not looking for a vendor recommendation I'm trying to find out if I'm looking for the right thing,inzinjerstvo,247
54,I am thinking mainly in $\frac{kWh}{m^3}$ and $\frac{\$}{m^3}$ In the past some decades a wide range of surprisingly efficient water desalination plants were built mainly in desert regions (Middle East) These plants use reverse osmosis viaa system of multiple prussered membranes This solution seems to be very effective in the sense of energy usage But it is not enough Comparing the desalination prices (coming mainly from energy costs) to the alternatives a further 60-90% reduction is yet needed Comparing them what development potential is there in water desalination I think water desalination has probably a theoretical energy limit which could be maybe calculated from entropy and binding energy formulas How near are we to this theoretical limit,inzinjerstvo,116
55,I have been investigating recapturing energy from house lighting using solar panels Are there solar panels specifically designed to capture indoor lighting with a higher efficiency If so what are the differences between the outdoor and indoor solar panels designed for this purpose References Solar Efficiency Limits Can Solar Batteries Charge Using Incandescent Light Can solar panels charge from street lights during the night As it does charge from the sun during the day,inzinjerstvo,58
62,I would like be able to measure LED brightness using a cost effective instrument What are the available instruments to measure LED brightness and respective cost effective techniques Background I'm interested in converting what the customer thinks is acceptable brightness to actual LED brightness specification,inzinjerstvo,64
63,The debate of traffic circles (also called roundabouts or rotaries) versus traffic light intersections has been in progress for a while Those in favor of traffic circles say that among other things that they are safer than traffic light intersections This claim has been scientifically proven On the other hand traffic light intersections are more space-inefficient Even Mythbusters has joined the fun testing the efficiency (which is one of the main arguments both sides seem to concern themselves with) of each method For comparison here's a quick picture of a traffic circle And of a four-way traffic light intersection So what are the pros and cons of a traffic circle versus a traffic light intersection,inzinjerstvo,76
66,I know that my input signal contains a main sinusoidal signal and I know its frequency but not its amplitude Until now I have been successfully using the least-squares method to generate a sinusoidal signal with the least difference from my input However this method breaks down when faced with slightly more complicated input signals where the noise is big enough to disturb the list square As a consequence it's not efficient anymore What are some other ways I can accomplish this filtering that don't have the same issue,inzinjerstvo,70
68,I have a 2mm thick steel plate which is 300mm long and 30mm wide supported at either end It supports a weight-bearing wheel that can roll along the plate It currently supports the maximum weight that I expect it to support when the wheel is in the middle but it flexes a little bit too much Would making it wider help to support the weight and increase its stiffness or do I need to make it thicker Also is there a way to calculate how the stiffness will change with the thickness (or width if that would affect it),inzinjerstvo,69
73,A highly desirable property of metals like gallium and indium is that they are able to wet glass Normally as metals they wouldn't be able to form an airtight seal when in contact with glass But they are able to do so and they can be used in applications where an airtight seal is required (e g vacuum gaskets) That said indium and gallium are somewhat expensive (at press time around 700 USD/kg and 250 USD/kg respectively) Industrial compounds that also have similar properties such as Galinstan (even though the glass still needs a wetting with gallium oxide first) aren't much better What are some metal substances that are both cost-effective and able to wet glass with an airtight seal that can be used in industrial applications,inzinjerstvo,201
74,One of the valves on my 3 bar line just failed Without it our production has ground to a stop and we can't operate until we get a replacement (which we have already ordered) In order to make a deadline I am trying to find a way to use a (properly rated for pressure) DN 16 flanged valve to fit with the existing DN 10 piping Is there any way to (safely) connect these two flanges together temporarily,inzinjerstvo,314
84,I need to pump a thick slurry from a tank The slurry can be pumped but won't flow well enough that I can use a suction pump from outside the tank Normally I'd use a centrifugal immersion pump that can be drawn from the tank for service But with the thick slurry I need to use a PD pump One option that I'm looking at is a monopump housed in a long pipe so the rotor/stator packet is submerged and operated by a long shaft in the pipe But this will probably get expensive and I'm open for other options Another consideration is ease of service the immersion pump linked above would have to be lifted with a crane out of the tank for service The application is agricultural / bio-energy; tank depth is 4m So I'm looking for a PD pump that is capable of pumping thick slurries can be put into my sump pump and retrieved for service with low effort (which probably rules out long driveshafts) I'm mostly hunting for ideas no need for a concrete product recommendation,inzinjerstvo,118
86,For one-off bespoke electronic products or ventures on low budgets what is the cheapest way of ensuring the product conforms to EMI/EMC requirements of CE marking This can be at design time and / or throughout the manufacturing process Examples A small-run electronic microprocessor based controller (using a CE-Marked zero-cross solid state relay) intended to switch on or off a 2kW load such as a consumer grade 240V 2kW blower heater A one-off CNC machine that utilizes CE-marked low voltage motors and servos and is controlled by a microcontroller and miscellaneous circuitry A new venture into producing LED lighting with controllers - typically switching 10W loads; using PWM to control brightness; controlled by a micro-controller; using SMD LEDs and a CE-marked switched-mode 24V 3A PSU Obviously there must be logical principles which one can apply to allow one to bypass other expensive conforming methods For example connecting two CE-marked appliances to each other where they are intended to do so would most likely not need any further testing The problem is that for more complicated scenarious getting products approved by external companies that provide CE-marking assessments can be incredibly expensive Also I have not found any particularly affordable equipment/methods to carry out EMI/EMC testing - and not being an expert in EMI/EMC means I would not be confident about using such equipment effectively,inzinjerstvo,90
87,There has recently been a series of high profile bolt failures on 'The Cheesegrater' in London which have been attributed to hydrogen embrittlement What can engineers do to ensure that hydrogen embrittlement doesn't effect their structures,inzinjerstvo,114
88,When designing a steel beam the resistance to buckling is related to M cr ; the elastic critical moment for lateral-torsional buckling However the Eurocodes give no advice about how to calculate this parameter How would you calculate it,inzinjerstvo,93
89,It is common to lift bridges to replace bearings etc In an ideal world the lifting capacity required of the jacks would be the self-weight of the bridge divided by the number of jacks (+ allowances for wind/snow etc ) From my (limited) experience however bridges begin to 'stick' to their bearings and an additional allowance for over-coming this has to be provided Does anyone have any guidance about how to determine this figure,inzinjerstvo,115
100,Prince Rupert's Drops are glass objects created by dripping molten glass into cold water While the outside of the drop quickly cools the inside remains hot for a longer time When it eventually cools it shrinks setting up very large compressive stresses on the surface The result is a sort of toughened glass you can hammer the drop head without damaging it but a scratch on the tail leads to an explosive disintegration Check out this video So is it possible to build spherical Prince Rupert's drops And if so how One example of an application is as a replacement for traditional ball bearing spheres There will be improvements in wear resistance and maximum loads tolerable and a glass sphere would cost less anyway,inzinjerstvo,239
101,Sometimes underground pipelines are exposed due to vertical scour or lateral migration of streams (or other erosion) One option is to lower the (in-service) pipeline to a new depth that provides sufficient ground cover How can I determine the mechanical stresses on the pipe and determine how much the line can be lowered Also required is determining what length of trench will be required to accommodate the lowering What are the relevant codes or standards This question is in relation to steel pipelines for both gas and liquids,inzinjerstvo,104
119,I have recently been told that my salesmanship is lacking when it comes to getting my ideas implemented I receive the feedback that my ideas are sound and the data to implement is compelling and even that the ideas are presented in a way that management can understand but I am not doing a good job of selling the idea when it comes time to implement I feel a little odd about this because on the one hand I can understand that as an engineer I haven't honed this skill However on the other hand I feel almost blindsided that this is a skill I am expected to have; the decision-makers have already said go implement but when I go to implement the people with whom I am supposed to partner put up barriers to progress I'm wondering how others deal with this,inzinjerstvo,124
120,I've looked around for different types of concrete pump s and simply don't know if there are many different types what their mechanisms are and which ones are the most predominant ones What I've found This video explains how a pump with an S-shaped tube operates The relevant wikipedia page explains another type which does differ in the way how the concrete is released ( a concrete pump ),inzinjerstvo,123
121,How are spindle speeds calculated for a drill bit I've seen dozens of charts that highlight the rpm that should be used for specific drill bit types bit diameter and material However what if my chart doesn't have the particular type of material or bit that I am using I'd also like to have some intuition to know if the chart looks right or wrong Upon some quick research it appears that the cutting speed is what is ultimately needed for a particular material I assume the cutting speed for each material must be looked up Is there a standard or go-to place to find these Then information about the drill bit can be used to determine spindle speed Again what if I'm using a big hole saw or circle cutter and it's not listed How do I model the bit to use the cutting speed to determine rpm (for a given material of course) I'd also like to know to calculate feed speeds for a drill or mill but there are presumably more variables It is probably better answered in another question,inzinjerstvo,134
122,All of these theories are in use today and anyone can look up the definition of each theory in a textbook But what are the practical applications for each theory or said another way in what situations should one theory be preferred to the others Compilation of a general list would be most useful,inzinjerstvo,139
126,What is an effective method to re-engineer a current product to reduce engineering bill of material (EBOM) cost This is a continues improvement project for a current product in electronics space Attached is an example of a PCB board The product consists of many similar boards The BOM includes active and passive electronic components such as capacitors resistor microprocessors transistors PCB boards connectors etc What is an effective method to tackle this engineering cost reduction problem,inzinjerstvo,131
137,Given a tolerance within which your workpiece should be manufactured say some length should be $10\pm1$mm If you determine that your uncertainty in measuring this length is $0 2$mm (at 95%) How should a measurement of $9 1$mm be treated Clearly there is a significant probability that this value will actually be outside of tolerance Do you need to decrease you tolerance range based on the uncertainty in your measurement,inzinjerstvo,145
146,I want to quantify friction between a bullet and barrel to test different friction-proofing coatings and treatments Is there a controlled test I could do at low speeds in a lab between samples of treated copper and steel that would be theoretically applicable at velocities up to 1000 m/s I e is the dynamic coefficient of friction considered constant between two materials like copper and steel up to speeds of 1000 m/s or is there a known relationship between speed and friction that would allow extrapolation from lab-measured coefficients And what lab tests would be suited to measuring that coefficient to high precision (I realize that the most obvious way to approach this problem would be empirically i e just shoot the different projectiles and compare the resulting velocities I have tried that and gotten confusing results that appear to be attributable to the sources of error in internal ballistics in particular to the fact that different coatings are probably altering the diameter of the projectiles at the micron level and dimensional changes can overwhelm the changes in friction which render A-B comparisons invalid ),inzinjerstvo,149
150,As I heard the life expectancy of photovoltaic cells is normally some decades as so This is very long regarding their high cost it has significant (negative) effect on the total costs Why do they age I can see the only possibility which could damage their atomic structure and this is the very high energetic ultraviolet (or even soft röntgen) photon spectrum of the sun (which is only a small part of its power) And I think these photons could be maybe easily filtered out by a transparent plastic layer over the silicon Thus why do the solar cells age and what happens in them on the atomic level,inzinjerstvo,159
151,I think it could be a reactor utilizing californium-242 (or at least weapon-grade U-235) cooled and moderated by heavy water Essentially it were similar to an atomic bomb but - of course - it would be optimized for stay around the equilibrial state The result were probably a very strong neutron source I think it could be used for various things mainly in the space applications Does any cost/size estimations about this ever created,inzinjerstvo,192
160,I punch metals before I start a bit in them but with small-diameter bits I am finding that they wander inside the material E g drilling a 1/8 hole in 1/2 of aluminum the (titanium-coated HSS) bit will come out the other end a measurable distance to a side (orthogonal to the drill feed direction) from where it entered To be clear the bit starts where I want it to since I punched the metal But the bit appears to be flexing within the material causing the resulting hole to be angled How can I prevent this Is there something about the material that I need to understand in order to prevent the bit from wandering and causing the hole to be skewed I'd like to know the mechanics behind the materials that is causing these skewed holes,inzinjerstvo,161
162,I want to design a small wind turbine that can be easily carried out of the classroom into the sports field in relatively low-wind conditions (5-15km/h) that can power a small ultra-bright 5V LED - just enough to show that it works How do I calculate the power I can get from different blade diameters in these wind conditions and the power needed to drive a small DC motor/generator enough to light the LED,inzinjerstvo,164
165,Pontoon bridges differ from traditional bridges in that they are supported not by structures anchored to the floor of the body being spanned but by floating pontoons that are connected by a more rigid structure that supports a roadway They're often used by militaries to provide a temporary crossing point but they're also used for permanent civilian crossings I would assume that they make it easier to cross larger bodies of water because there is less structure to be secured below the surface In areas of deep water support structures can become unfeasibly large These larger spans could though make the pontoon bridges susceptible to damage from strong winds and currents Are there plans to use pontoon bridges to cross long distances,inzinjerstvo,177
166,By modern computers I mean electronic programmable computers such as those that were developed about the middle of the 20th century My understanding is that early computers such as Charles Babbage's calculating machines worked mainly on mechanical principles like a modern abacus Apparently later machines were more electronically based I'm talking about computers that evolved from using vacuum tubes to transistors to integrated circuits and ultimately silicon chips What engineering advances enabled the above transition to occur from physical means (e g vacuum tubes) to electronic means (e g transistors) when it did (middle 20th century),inzinjerstvo,167
170,I understand that you can have a device with angular measurements for rotation and elevation and use trigonometry to calculate the distances but only if you have some distances to start with How did they accurately measure the first straight-line distance over any distance significantly long enough to give usable angles And wouldn't the error in other distances calculated from this very quickly accumulate out of control,inzinjerstvo,173
171,The product is an electronic product with many subsystems Over 100 parametric tests were done follow by many functional tests The parametric test includes tri temperature testing as well as maximum nominal and minimum input DC supply voltage The DUT’s were manufactured at the same time and all the DUT’s have the same software The parametric tests have maximum and minimum limits There is not much leverage with respect to additional resource or time line extensions What would be an efficient method to root cause the validation test failures and develop corrective action plan for the product failures How can six sigma for continuous improvement help to efficiently identify failures,inzinjerstvo,174
179,The Eurocodes gives the following equation for estimating a simply supported bridge subject to bending only * $$n_0 = \frac{17 75}{\sqrt{\delta_0}}$$ Where $n_0$ is the natural frequency in hertz $\delta_0$ is the deflection at mid-span under permanent actions in mm The equation is seemly plucked from thin air and there is no explanation as to where the constant 17 75 comes from As an engineer I'm loath to use a formula I don't understand but more than that it would be helpful to learn the fundamentals behind it so that I can see if it can be altered to work with other support conditions Can anyone provide a derivation / fundamental origin to this relationship *Full reference is EN 1991-2 2003 6 4 4 [Note 8] (Equation 6 3) if that helps,inzinjerstvo,388
180,I'm working on design of a 3D movement drive (for 3D printers/CNC mills etc) using DC motors and helical drive A DC motor drives the leadscrew actuator which supports the working elements (head table or head bridge) The current of the motor shaft -> position of the driven element is read with optical encoder (I can derive speed acceleration momentum etc from that ) I can read the current (voltage across a fixed low resistance in series with the motor) and the voltage across the motor terminals resulting in measurement of the power -> torque I can drive the power supplied to the motor through PWM For optimal drive I should maintain movement speed as close as possible to given (right for the used machining parameters) and as I'm machining material the resistance of the material against the tool will change in more or less unexpected pattern This is pretty simple with stepper motors where we just assume the output directly follows the input In case of DC motor though the control must be much more reactive increasing power as torque rises What control algorithm would allow me to maintain movement speed closest to preset - meeting the additional condition restricting or rapidly minimizing exceeding the preset speed; rapidly reduced load as the head exits material could result in speed increase and drive the head into a neighbour element damaging the work piece (please note this is one of the questions that take long rather than short answers; control algorithms in automatics is a subject of good several semesters of study and choosing and explaining the control algorithm meeting specified criteria is bound to require some work ),inzinjerstvo,181
183,I am working on rub induced vibrations in compressor stages of aircraft engines The work is carried out in partnership with a company therefore there is a limited amount of it that could be published openly Do OpenSource compressor or turbine blade designs exist (e g NACA airfoil profiles for wings) Could you provide detailed dimensions --in particular for the cross-section profiles and stacking laws--- as well as the associated material properties The idea would be to use it for publication purposes thus displaying relevant characteristics and realistic behaviors from an engineering perspective while sharing all geometry and material property details so that other researchers may reproduce the published results,inzinjerstvo,184
186,There are numerous steel alloys containing mostly iron carbon and some other metals Generally speaking we can think of them as if they were some type of steel My question is do non-ferrous steels exist I am thinking of pure non-iron metals containing a little carbon just as is added to iron to turn it into steel Or asked another way are there other metals besides iron that are doped with carbon in order to form an alloy like steel In general how does the addition of carbon affect the properties of these metals,inzinjerstvo,189
191,As I know a very considerable part of the currently processed steels (around half of it) is coming from recycling But during the steels coming into the recycling process are coming normally from various sources and thus they are containing very different alloying materials But the output of the reprocessed steel must be steel containing alloys exactly in the specified ratios Do some type of separation or removal of the previous alloys of the recycled steel happen And if yes how does it work,inzinjerstvo,529
193,Consider a large auditorium a church or some other very large essentially one roomed building with a high ceiling Suppose that the building has many entrances which enable cold air in/hot air out and traffic in and out of the building is unavoidably large I would imagine that any attempts to control the temperature of such a large building would be very inefficient in terms of energy and cost particularly because warm air rises Assuming that it's very cold outside and we're interested primarily in keeping the building warm at the ground level so that it is comfortable for humans to work and interact what is the best method to keep such a large essentially one roomed building with a high ceiling warm when outdoor cold air exposure is frequent and unavoidable When I say best i'm interested in balancing energy maintenance and monetary costs over the life of the building,inzinjerstvo,194
200,For a piston pump you can calculate/measure things like Average Volume flow rate (m³/s) Geometric Values (Surface) Pressure over time closing times of the valves energy conversion efficiency $\eta$ besides those what charateristic values are there ( example of a type of piston pump source ),inzinjerstvo,206
207,Disclaimer I'm an applied mathematician by training not an engineer My work research primarily focuses on creating new methods to solve different PDE's related to solid deformation (elasticity) and fluid mechanics In this sense i know how to solve a pde problem computationally From my perspective engineers use my work as tools to accomplish their work However due to my lack of education/experience in engineering i admit i'm actually rather clueless on how numerical solutions to pde's are really used in an engineers actual practice The primary source of my confusion is the following I've been told that engineers never (or should never) conduct numerical simulations (e g finite element analysis CFD etc ) without knowing or having a good idea ahead of time what the simulation should look like This helps engineers discriminate realistic results from questionable ones However i argue that if the engineer already knows what is supposed to happen in the simulation then what's the point of simulation in the first place I've always assumed that simulations are needed for predictive purposes which assumes ignorance of what is to come That is I think of a simulation as a stand-alone tool to predict the future when you don't know what to expect What i'm looking for is a broader perspective into how/when/why engineers use numerical simulations like CFD and Finite Element Analysis especially if good engineering practice dictates that you should already know what to expect when you're simulating,inzinjerstvo,208
211,These days most of modern electronics use rechargeable batteries as a power source Also these days most modern rechargeable batteries are Lithium Ion or Lithium Polymer based Like any other devices over time these rechargeable batteries lose the ability to recharge retain and discharge energy thus users have to replace the devices or rechargeable batteries It is my understanding that the rise in battery internal resistance is the primary cause the rechargeable battery aging Is this accurate If so what can be done to lower or eliminate the internal resistance in rechargeable batteries If my understanding is inaccurate what is the cause for rechargeable battery aging If the causes for battery aging are understood how can electronic engineers design charging and discharging circuits to extend the rechargeable battery life References Battery University,inzinjerstvo,222
212,EMI/EMC issues are common in most electronic designs Electronic and Hardware Engineers use many different strategies to mitigate these issues These include (But not limited too) Designing filter circuits Strategic selection of micro-controller clocking frequency PCB layout consideration including good grounding practices Mechanical Shielding of critical electrical circuits for immunity or suppression Question This particular design in question has a plastic enclosure LCD display and USB type to connector for recharge a battery What are some of the mechanical engineering best practices to help design product meet EMC/EMI requirement References EMC Design Fundamentals EMI Design Guideline for USB components EMC Design Considerations,inzinjerstvo,235
214,Austenite is non magnetic while $\alpha$-ferrite and pearlite are magnetic ( Magnetic properties of pearlite vary as a function of carbon content ) If a strong magnetic field is applied in a particular direction while the steel is being quenched (rather austenite is being quenched ) would the grain structure change Is it possible to get superior grain structure and hence tougher steel by application of cyclic magnetic field My speculation is that at the eutectoid point while quenching the steel as low carbon zone of pearlite has more permeability that zone should align itself to the strong magnetic field by pushing the carbon in orthogonal direction so grain boundaries should take a different shape Will it actually happen,inzinjerstvo,252
215,Localities in the US have different road layout and setups For example the Michigan Left Jersey Left/Jug Handle vs a standard 4 way stop with left turns at the intersection Have any of them come out as clear winners,inzinjerstvo,317
217,If I install a small air compressor/engine generator and tank in my garage and I charge it up at night when electricity costs $\frac{5 4p}{kWh}$ and use it during the day to power my house when electricity costs $\frac{12 5p}{kWh}$ would this be able to save money on the electricity bill or not The tank engine and generator should be sized to charge up over 7 hours between 01 00 and 08 00 and release the energy during the other 17 hours of the day I'm assuming that regardless of when during the day the energy is actually released it is either used by me or goes back into the grid and runs the meter backwards to offset my day-usage,inzinjerstvo,220
218,I was looking at high pressure pipes and their pressure ratings I'd like to know how these pressure ratings are determined I assume that pipes are tested until failure and the failure pressure is multiplied by some safety factor to determine its 'rated' pressure but is there a formula to calculate what the failure pressure should be before testing it (based on the material wall thickness diameter or other measurements of the pipe),inzinjerstvo,221
223,Weight lifters will use the term one rep maximum in order to refer to the maximum amount of weight that they can lift one time The one rep max is often used as a proxy for how strong someone is (or isn't) Recreational lifters other types of athletes and the general population rarely bother with testing themselves in order to determine their maximum strength From a human factors and usability point of view it can be useful to know what the average maximum strength of a population is so that design can take those limitations into account Please see the footnotes 1 2 3 for some practical applications of this question My question is if it's possible to estimate a person's maximum strength for a given activity by seeing how many repetitions they can complete at a lower weight For example if someone can bench-press 100 lbs 10 times in a row can that be used to estimate the maximum amount they could bench-press once If so does that estimation model hold consistently across activity types hold consistently across increasing amounts of weight hold consistently across age and gender distributions 1 An entertaining example amusement park / carnival attractions can be designed differently in order to accommodate the various distributions of strength 2 A mobility example aids for the disabled can be enhanced if it's found that their maximum strength is below the threshold for a device 3 A diagnostics example restraints can be designed just to the maximum of a particular demographic's abilities in order to provide a more comforting or friendly appearance This provides a humanizing touch while maintaining the accuracy of the diagnostic test,inzinjerstvo,225
224,Cut-in cut-out thermostats are commonly used with refrigeration devices in order to hold a consistent temperature range Their general operations is such that when the temperature by the probe reaches a particular temperature set as the upper limit the thermostat cuts-in and the compressor is turned on providing cold air And when the temperature by the probe reaches the lower temperature set point the thermostat cuts-out and turns off the compressor What materials are used in within an analog or mechanical cut-in cut-out thermostat Likewise how is the internal circuit designed such that one probe feeds both cut circuits and what control is put in place for the cut-out to override the cut-in signal To help scope this question based upon the materials used in an analog cut-in cut-out thermostat would it be reasonable to attempt to test and adjust the set points of a thermostat by using jars of water at known temperatures and measuring the output off of the relay within the thermostat,inzinjerstvo,228
226,Some dc motors can be used as generators as well by applying mechanical torque to the output shaft to induce a current However even if a dc motor can do this I imagine they were not designed for this purpose and thus perform less efficiently when used as a generator rather than as a motor In my admittedly naive understanding dc generators and dc motors are essentially the same machinery but with inputs and outputs reversed This leads me to believe that some other design considerations are used to make one direction more efficient than the other How differently are dc generators and dc motors designed to make one direction of input/output more efficient than the other What can one do electrically or mechanically to improve the efficiency in either direction In particular I'm interested in converting a dc motor into a generator and want to know how I can improve its efficiency in converting mechanical energy into electrical energy,inzinjerstvo,451
229,Since the units are the same ($\frac{N}{m^2}$) what's the difference between pressure and stress,inzinjerstvo,304
230,I'm familiar with PTC Creo and have heard of similar packages such as SolidWorks Autodesk Inventor etc Are there any open-source solid modeling packages similar to these systems If so how mature are they,inzinjerstvo,233
231,I want to do some very simplified drag calculations on a vessel My hope was that calculating the skin-friction resistance would be enough to get a good estimate of the surge resistance Because wave-making resistance is very speed dependent I assume you can neglect it when the vessel is below a certain speed I also assume that I have to work with Froude numbers instead of velocities to take vessel size into account I have seen Froude numbers below Fn = 0 1 and Fn = 0 2 mentioned in books and on the Internet but if you calculate the velocity for a vessel with a 100 m long waterline you get $$V = 0 1 \cdot \sqrt{9 81\ \text{m/s}^2 \cdot 100\ \text{m}} \approx 3 13\ \text{m/s} \approx 6 08\ \text{knots}$$ $$V = 0 2 \cdot \sqrt{9 81\ \text{m/s}^2 \cdot 100\ \text{m}} \approx 6 26\ \text{m/s} \approx 12 16\ \text{knots}$$ This values seem way too high in my opinion 12 16 knots is almost service speed for some vessels and 6 knots is also quite high Are Fn = 0 1 and Fn = 0 2 reasonable numbers and if not below what Froude numbers should I stay to be able to neglect wave-making resistance,inzinjerstvo,288
